;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anhänger"
Land;Regierungsbezirk;Statistische Kennziffer und Zulassungsbezirk;insgesamt;"davon 
zweirädrige 
Kfz";"davon 
dreirädrige 
Kfz";"davon 
leichte 
vierrädrige Kfz";"darunter 
Halterinnen";insgesamt;"Hubraum
bis 
1.399 cm³";"1.400
bis
1.999 cm³";"2.000
und
mehr cm³";"unbe-
kannt";"und zwar 
mit
offenem
Aufbau";"und zwar 
mit
Allrad-
antrieb";"und zwar Wohn-
mobile";"und zwar 
Kranken-
wagen,
Notarzt-
einsatzfz.";"und zwar 
gewerbliche
Halterinnen
und Halter";"und zwar
Halterinnen";"PKW-Dichte
je 1.000 
Einwohner";;insgesamt;"mit zulässiger Gesamtmasse
bis 2.800 kg";"2.801
bis
3.500 kg";"3.501
bis
5.000 kg";"5.001
bis
7.500 kg";"7.501
bis
12.000 kg";"12.001
bis
20.000 kg";"20.001
und
mehr kg";"unbe-
kannt";insgesamt;"davon
Sattelzug-
maschinen";"davon
land-/forst-
wirtschaft-
liche Zug-
maschinen";"davon
sonstige Zug-
maschinen";;;insgesamt;"Kfz-Dichte
je 1.000 
Einwohner";
BADEN-WÜRTTEMBERG;RB STUTTGART;08111 STUTTGART,STADT;28.067;27.338;529;200;3.696;299.937;94.214;139.436;51.179;15.108;18.608;53.235;4.388;124;76.672;82.602;474;394;18.124;6.812;8.667;397;793;341;384;722;8;3.067;761;1.877;429;2.376;23.961;351.965;556;19.565
;;08115 BOEBLINGEN;26.360;25.722;373;265;3.522;264.362;85.675;119.313;45.454;13.920;15.139;46.184;4.771;72;43.778;81.452;663;354;12.915;4.126;6.809;188;702;242;362;481;5;7.877;490;5.256;2.131;939;22.085;312.807;785;31.144
;;08116 ESSLINGEN;39.982;39.118;526;338;6.098;345.023;120.669;159.571;50.873;13.910;19.396;49.825;6.582;112;47.571;114.460;639;351;20.460;6.840;10.178;273;1.152;467;635;906;9;11.539;1.150;6.866;3.523;1.454;33.804;418.809;775;45.830
;;08117 GOEPPINGEN;19.573;19.110;214;249;3.042;170.765;61.205;79.203;25.459;4.898;8.914;25.953;3.339;60;18.319;58.330;652;165;11.184;3.702;5.545;134;582;389;400;427;5;8.538;496;5.772;2.270;709;20.596;210.934;806;26.877
;;08118 LUDWIGSBURG;37.662;36.824;494;344;5.316;339.526;118.745;158.032;51.653;11.096;19.016;47.648;5.853;176;35.394;116.171;616;197;20.887;6.608;10.654;225;1.119;586;543;1.138;14;11.994;1.335;7.860;2.799;1.447;34.525;411.713;747;42.942
;;08119 REMS-MURR-KREIS;31.479;30.745;382;352;4.629;273.326;96.758;125.582;42.156;8.830;15.828;39.411;5.175;93;29.929;92.980;632;381;18.225;6.044;9.376;286;1.033;389;413;676;8;13.600;746;10.182;2.672;1.167;33.373;338.178;782;41.832
;;08121 HEILBRONN,STADT;5.364;5.220;74;70;738;69.749;23.159;33.820;10.958;1.812;3.197;10.360;783;123;10.457;22.231;543;111;5.299;1.571;2.718;58;313;119;184;333;3;2.087;1.001;876;210;384;7.881;82.994;647;7.607
;;08125 HEILBRONN;26.732;25.999;333;400;3.612;255.222;80.049;128.615;38.369;8.189;12.722;44.960;4.165;16;42.827;80.478;722;248;15.143;4.768;7.910;170;911;291;371;715;7;15.724;1.232;11.259;3.233;1.130;32.245;314.199;889;42.326
;;08126 HOHENLOHEKREIS;10.170;9.858;118;194;1.256;87.376;23.522;48.051;12.671;3.132;3.839;12.663;1.328;24;15.352;26.503;759;125;5.115;1.423;2.785;54;284;92;182;295;-;9.992;547;7.074;2.371;530;15.762;113.308;985;17.216
;;08127 SCHWAEBISCH-HALL;16.005;15.521;149;335;2.162;136.616;40.770;70.093;21.724;4.029;6.722;20.448;2.441;46;13.977;44.708;674;561;9.489;2.757;4.958;144;503;208;263;649;7;16.191;651;11.683;3.857;792;27.033;179.654;886;30.836
;;08128 MAIN-TAUBER-KREIS;10.978;10.539;110;329;1.487;92.508;28.705;48.802;12.807;2.194;3.933;12.442;1.455;35;8.554;30.669;687;97;5.898;2.232;2.723;63;319;69;197;294;1;12.352;209;9.314;2.829;554;18.901;122.387;908;19.159
;;08135 HEIDENHEIM;9.928;9.684;94;150;1.395;87.464;29.441;42.610;13.494;1.919;4.000;13.709;1.783;32;7.714;29.753;648;94;4.795;1.446;2.515;51;241;103;114;322;3;5.146;395;3.542;1.209;500;10.535;107.927;799;16.602
;;08136 OSTALBKREIS;25.356;24.713;274;369;3.643;212.240;71.798;102.961;31.772;5.709;10.152;34.855;4.328;98;22.133;70.698;664;319;12.800;3.758;6.680;127;746;267;341;876;5;16.909;995;12.137;3.777;1.115;31.143;268.739;841;41.023
;RB ZUSAMMEN;;287.656;280.391;3.670;3.595;40.596;2.634.114;874.710;1.256.089;408.569;94.746;141.466;411.693;46.391;1.011;372.677;851.035;626;3.397;160.334;52.087;81.518;2.170;8.698;3.563;4.389;7.834;75;135.016;10.008;93.698;31.310;13.097;311.844;3.233.614;769;382.959
;RB KARLSRUHE;08211 BADEN-BADEN,STADT;3.423;3.350;48;25;467;36.190;11.201;16.972;6.696;1.321;2.528;6.528;557;16;6.734;12.111;635;65;2.724;1.076;1.282;22;99;65;88;90;2;1.006;186;510;310;194;3.989;43.602;765;4.294
;;08212 KARLSRUHE,STADT;13.120;12.796;215;109;1.793;141.341;47.424;67.422;20.966;5.529;7.042;18.728;2.952;52;28.371;44.856;458;455;10.343;3.865;5.078;95;477;150;236;438;4;1.545;475;832;238;1.176;13.519;167.980;544;14.249
;;08215 KARLSRUHE;30.871;30.032;469;370;4.338;288.435;99.344;137.099;42.948;9.044;15.192;38.413;5.290;94;28.174;103.268;634;177;18.738;6.298;9.381;207;1.223;408;464;749;8;12.277;1.530;7.163;3.584;1.434;32.626;351.932;774;53.053
;;08216 RASTATT;17.987;17.495;297;195;2.492;154.629;53.821;72.014;23.853;4.941;8.083;21.889;2.844;63;13.503;53.174;658;98;9.060;3.252;4.505;93;481;95;275;356;3;7.309;702;4.219;2.388;666;17.133;189.749;808;29.914
;;08221 HEIDELBERG,STADT;5.107;4.972;77;58;678;61.217;19.469;29.896;9.767;2.085;4.001;9.019;1.336;56;11.390;21.058;377;92;3.860;1.617;1.838;47;185;51;49;72;1;713;62;557;94;400;5.065;71.389;440;4.556
;;08222 MANNHEIM,STADT;13.088;12.631;288;169;1.650;157.809;52.326;77.325;23.314;4.844;7.675;20.638;1.827;118;30.749;49.463;500;157;13.649;4.753;6.851;111;841;237;366;485;5;1.412;673;617;122;1.253;16.471;187.368;594;12.911
;;08225 NECKAR-ODENWALD-KREIS;10.839;10.375;117;347;1.433;97.723;33.363;48.734;13.157;2.469;4.375;15.239;1.657;45;8.719;33.043;672;97;6.091;1.900;3.192;58;315;108;172;338;8;8.834;245;6.676;1.913;579;15.601;124.163;853;23.212
;;08226 RHEIN-NECKAR-KREIS;35.260;34.385;454;421;5.008;361.144;123.927;172.580;51.260;13.377;20.903;49.355;6.011;35;50.459;128.325;650;203;21.165;7.453;10.914;179;1.136;333;421;716;13;10.397;894;7.014;2.489;1.622;33.387;429.791;774;43.733
;;08231 PFORZHEIM,STADT;5.012;4.837;96;79;659;63.835;21.918;30.041;9.996;1.880;3.177;9.302;736;54;8.681;20.104;499;82;3.761;1.292;1.960;39;192;79;57;140;2;613;76;433;104;315;4.771;73.618;576;6.118
;;08235 CALW;12.388;12.030;154;204;1.850;110.383;37.134;52.128;16.644;4.477;5.329;16.664;2.194;47;11.973;36.362;678;203;7.931;2.231;3.885;77;803;284;245;399;7;7.504;502;4.573;2.429;688;16.326;139.097;854;22.794
;;08236 ENZKREIS;16.847;16.443;198;206;2.397;137.283;48.293;63.180;21.357;4.453;7.876;19.497;2.777;1;13.111;48.394;678;112;7.922;2.839;3.934;60;433;92;178;382;4;6.677;667;4.013;1.997;512;15.223;169.353;836;27.302
;;08237 FREUDENSTADT;9.590;9.299;106;185;1.245;80.993;26.823;40.284;11.651;2.235;3.796;15.891;1.524;35;8.724;25.794;668;202;4.974;1.422;2.588;57;330;97;137;341;2;7.052;264;4.560;2.228;491;12.719;103.302;853;17.305
;RB ZUSAMMEN;;173.532;168.645;2.519;2.368;24.010;1.690.982;575.043;807.675;251.609;56.655;89.977;241.163;29.705;616;220.588;575.952;594;1.943;110.218;37.998;55.408;1.045;6.515;1.999;2.688;4.506;59;65.339;6.276;41.167;17.896;9.330;186.830;2.051.344;720;259.441
;RB FREIBURG;08311 FREIBURG I.BREISG.STADT;9.112;8.903;139;70;1.300;95.274;31.163;46.115;14.698;3.298;4.634;12.272;3.561;109;17.274;31.748;403;378;7.163;2.706;3.573;101;345;96;179;162;1;1.483;120;1.119;244;510;9.534;113.920;482;8.249
;;08315 BREISGAU-HOCHSCHWARZWALD;18.213;17.650;289;274;2.460;164.411;56.677;78.049;24.201;5.484;8.633;25.751;4.629;34;15.624;57.843;609;190;12.312;4.407;6.256;104;504;160;311;565;5;13.902;572;10.414;2.916;1.410;27.814;210.438;780;30.525
;;08316 EMMENDINGEN;12.306;11.964;176;166;1.610;105.488;37.386;50.507;14.476;3.119;5.103;14.132;2.622;40;9.575;37.638;617;102;7.606;2.584;3.838;52;366;173;229;362;2;8.783;382;6.200;2.201;680;17.171;134.965;789;19.948
;;08317 ORTENAUKREIS;31.763;30.841;433;489;4.274;282.762;100.397;135.823;38.327;8.215;12.940;40.266;5.613;106;29.674;98.352;640;559;20.253;6.592;10.277;211;1.112;292;554;1.207;8;22.021;2.008;15.302;4.711;1.672;44.505;359.030;812;59.069
;;08325 ROTTWEIL;11.757;11.398;153;206;1.584;97.511;33.751;47.163;13.990;2.607;4.819;17.835;2.146;36;10.773;32.520;684;85;6.245;1.797;3.371;58;318;107;177;414;3;9.063;417;6.027;2.619;661;16.054;125.322;879;21.841
;;08326 SCHWARZWALD-BAAR-KREIS;14.878;14.552;148;178;1.997;136.007;49.027;64.108;19.236;3.636;6.408;26.547;2.743;67;14.721;46.634;626;200;8.811;2.769;4.616;128;427;175;258;432;6;8.151;379;5.808;1.964;691;17.853;168.738;777;22.759
;;08327 TUTTLINGEN;10.627;10.295;152;180;1.367;93.168;31.250;45.194;14.061;2.663;4.554;18.277;1.907;32;11.578;29.243;643;110;5.494;1.701;2.857;56;262;139;152;324;3;7.010;334;4.409;2.267;426;13.040;116.835;806;18.836
;;08335 KONSTANZ;22.068;21.444;310;314;3.369;165.851;58.335;76.254;25.827;5.435;9.714;24.882;4.498;73;16.394;59.668;567;200;10.239;3.861;4.926;123;481;166;272;405;5;8.327;353;5.950;2.024;898;19.664;207.583;710;28.086
;;08336 LOERRACH;16.641;16.134;298;209;2.258;139.842;47.526;66.803;20.943;4.570;7.229;23.873;3.263;43;11.080;50.117;600;78;8.776;3.113;4.601;129;390;90;160;290;3;8.307;146;6.018;2.143;699;17.860;174.343;748;21.126
;;08337 WALDSHUT;12.843;12.468;167;208;1.611;111.643;38.501;53.664;15.803;3.675;5.264;21.998;2.303;58;9.438;38.185;644;140;7.667;2.305;4.141;58;387;121;158;491;6;10.704;397;7.733;2.574;771;19.282;143.768;829;22.501
;RB ZUSAMMEN;;160.208;155.649;2.265;2.294;21.830;1.391.957;484.013;663.680;201.562;42.702;69.298;225.833;33.285;598;146.131;481.948;599;2.042;94.566;31.835;48.456;1.020;4.592;1.519;2.450;4.652;42;97.751;5.108;68.980;23.663;8.418;202.777;1.754.942;756;252.940
;RB TUEBINGEN;08415 REUTLINGEN;21.059;20.579;240;240;3.084;185.014;66.179;86.363;27.113;5.359;9.129;29.339;3.961;84;20.399;64.562;634;249;11.602;3.570;6.104;121;653;298;301;551;4;12.826;566;8.772;3.488;912;25.589;231.662;794;35.992
;;08416 TUEBINGEN;14.563;14.264;157;142;2.188;129.886;45.833;61.539;18.335;4.179;6.261;17.467;3.165;60;15.109;45.775;558;245;7.225;2.491;3.698;97;375;72;153;334;5;6.950;199;4.301;2.450;598;15.018;159.467;685;23.158
;;08417 ZOLLERNALBKREIS;14.974;14.537;191;246;2.218;131.947;47.352;62.709;18.524;3.362;7.035;22.493;2.547;53;12.736;46.231;683;133;8.649;2.804;4.331;81;489;129;236;576;3;11.001;537;6.999;3.465;852;20.635;167.556;867;29.070
;;08421 ULM,STADT;6.378;6.263;57;58;945;68.016;22.497;33.060;9.942;2.517;3.217;10.174;1.334;85;13.305;20.901;528;475;5.073;1.494;2.535;51;299;125;276;291;2;1.693;508;899;286;504;7.745;82.139;637;9.236
;;08425 ALB-DONAU-KREIS;17.477;16.877;246;354;2.634;134.211;45.877;64.108;20.045;4.181;6.964;20.725;2.683;11;10.884;44.756;663;387;8.364;2.492;4.551;94;429;149;185;463;1;14.726;690;10.303;3.733;978;24.455;176.143;870;30.950
;;08426 BIBERACH;17.521;16.980;204;337;2.425;137.887;43.854;67.273;22.389;4.371;6.468;21.440;2.847;41;12.402;45.617;668;170;10.686;2.802;6.110;111;455;138;339;724;7;16.146;984;11.424;3.738;989;27.991;183.399;888;35.372
;;08435 BODENSEEKREIS;22.022;21.496;284;242;3.406;143.230;48.483;65.874;24.332;4.541;8.721;23.101;3.933;22;14.681;49.675;643;204;8.717;3.014;4.718;98;387;95;133;268;4;10.022;201;8.214;1.607;714;19.657;184.909;830;22.555
;;08436 RAVENSBURG;26.147;25.343;348;456;3.743;187.483;65.275;87.117;29.120;5.971;8.837;30.296;5.406;91;19.510;63.166;644;239;13.985;4.103;7.661;133;544;185;452;898;9;18.480;978;14.260;3.242;1.132;33.836;247.466;851;40.194
;;08437 SIGMARINGEN;11.724;11.370;134;220;1.686;90.113;31.581;43.172;13.030;2.330;4.166;13.921;1.882;32;8.387;30.171;672;144;5.922;1.829;3.185;51;328;74;136;317;2;10.676;423;7.534;2.719;689;17.431;119.268;890;23.234
;RB ZUSAMMEN;;151.865;147.709;1.861;2.295;22.329;1.207.787;416.931;571.215;182.830;36.811;60.798;188.956;27.758;479;127.413;410.854;635;2.246;80.223;24.599;42.893;837;3.959;1.265;2.211;4.422;37;102.520;5.086;72.706;24.728;7.368;192.357;1.552.009;815;249.761
BADEN-WÜRTTEMBERG INSGESAMT;;;773.261;752.394;10.315;10.552;108.765;6.924.840;2.350.697;3.298.659;1.044.570;230.914;361.539;1.067.645;137.139;2.704;866.809;2.319.789;614;9.628;445.341;146.519;228.275;5.072;23.764;8.346;11.738;21.414;213;400.626;26.478;276.551;97.597;38.213;893.808;8.591.909;762;1.145.101
BAYERN;RB OBERBAYERN;09161 INGOLSTADT,STADT;8.944;8.754;120;70;1.123;103.495;29.491;52.663;15.271;6.070;4.193;27.545;1.438;44;37.367;22.628;734;296;4.075;1.406;2.127;34;182;72;79;171;4;1.615;165;1.180;270;676;6.662;119.101;845;9.490
;;09162 MUENCHEN,STADT;70.708;69.182;1.108;418;9.563;763.673;197.416;400.784;130.888;34.585;44.248;166.912;14.593;274;242.366;196.604;505;1.515;46.486;14.525;27.273;249;1.989;552;655;1.226;17;4.774;673;3.602;499;5.464;58.239;892.620;590;43.234
;;09163 ROSENHEIM,STADT;3.941;3.835;59;47;533;36.289;12.154;17.184;5.945;1.006;1.524;6.562;883;41;5.817;12.098;563;33;2.726;912;1.428;37;95;47;78;128;1;684;26;538;120;473;3.916;44.146;685;4.044
;;09171 ALTOETTING;9.961;9.612;123;226;1.364;74.426;23.955;37.254;10.972;2.245;3.511;11.724;1.596;40;6.284;25.406;654;122;4.849;1.692;2.503;24;186;61;107;274;2;6.337;238;5.089;1.010;591;11.899;96.286;846;15.923
;;09172 BERCHTESGADENER LAND;9.160;8.917;92;151;1.170;67.609;24.958;31.599;9.350;1.702;2.533;15.824;1.785;25;6.794;22.912;628;110;4.272;1.487;2.193;59;156;110;107;160;-;5.165;100;3.927;1.138;502;10.049;86.818;806;11.152
;;09173 BAD TOELZ-WOLFRATSHAUSEN;11.573;11.257;143;173;1.635;82.512;27.363;39.098;13.680;2.371;4.058;18.852;2.598;25;8.432;29.523;637;33;6.567;2.108;3.678;37;227;84;132;299;2;7.088;130;5.487;1.471;646;14.334;108.419;837;15.033
;;09174 DACHAU;14.129;13.697;215;217;2.037;95.878;31.227;46.293;15.472;2.886;5.301;15.663;2.230;27;8.921;32.463;611;158;7.357;2.268;3.926;60;331;188;184;395;5;6.551;428;5.006;1.117;623;14.689;124.696;794;17.128
;;09175 EBERSBERG;11.326;10.993;184;149;1.532;88.495;27.797;42.940;14.458;3.300;5.120;16.480;2.124;15;9.533;30.438;603;223;5.979;1.900;3.136;53;246;125;165;352;2;5.983;358;4.883;742;504;12.689;112.510;766;12.894
;;09176 EICHSTAETT;13.361;12.839;203;319;1.611;88.194;28.951;44.727;11.893;2.623;3.776;15.560;1.869;26;5.464;26.170;650;122;5.074;1.646;2.603;50;238;101;160;273;3;10.606;382;8.264;1.960;581;16.383;117.938;870;21.476
;;09177 ERDING;12.712;12.222;157;333;1.672;92.652;29.513;46.401;13.979;2.759;4.591;15.229;1.695;23;7.447;31.507;654;202;6.678;2.117;3.346;57;284;114;278;480;2;10.598;373;8.041;2.184;791;18.269;123.633;873;17.886
;;09178 FREISING;15.379;14.870;256;253;2.206;113.161;34.611;56.789;18.086;3.675;5.760;18.197;2.240;40;12.199;36.885;614;199;9.024;2.896;4.609;67;433;278;241;496;4;9.538;588;7.295;1.655;879;19.640;148.180;803;18.939
;;09179 FUERSTENFELDBRUCK;16.079;15.677;247;155;2.428;126.660;42.308;60.350;20.084;3.918;6.894;20.011;3.928;26;11.813;44.159;572;149;8.737;3.007;4.554;70;389;158;252;297;10;4.798;161;3.522;1.115;705;14.389;157.128;709;18.831
;;09180 GARMISCH-PARTENKIRCHEN;8.307;8.130;67;110;1.150;53.429;18.829;24.984;8.202;1.414;2.277;13.320;2.238;37;6.101;19.715;601;44;4.254;1.505;2.360;29;119;31;68;141;1;5.041;50;4.305;686;396;9.735;71.471;804;9.668
;;09181 LANDSBERG AM LECH;12.591;12.188;189;214;1.790;85.772;27.126;41.478;13.466;3.702;4.823;13.780;2.660;18;9.440;29.477;697;107;5.185;1.673;2.847;60;172;79;101;251;2;8.100;244;6.051;1.805;501;13.893;112.256;912;18.026
;;09182 MIESBACH;9.963;9.689;95;179;1.388;68.000;21.166;32.396;12.210;2.228;4.348;19.824;1.981;24;8.051;24.248;671;59;5.426;1.891;2.814;49;191;63;142;273;3;5.296;156;4.404;736;502;11.283;89.246;881;11.554
;;09183 MUEHLDORF A.INN;10.662;10.076;154;432;1.456;78.287;25.142;38.854;11.967;2.324;3.454;12.574;1.588;30;6.674;26.243;653;135;5.789;1.905;3.075;47;201;101;146;313;1;9.606;307;8.133;1.166;624;16.154;105.103;877;18.662
;;09184 MUENCHEN;24.592;24.053;370;169;3.507;245.839;64.294;121.106;46.008;14.431;15.517;58.246;4.659;29;71.067;67.820;691;394;20.219;6.841;10.445;292;881;325;564;863;8;5.212;580;4.036;596;2.138;27.963;298.394;838;22.547
;;09185 NEUBURG-SCHROBENHAUSEN;10.156;9.667;219;270;1.406;67.866;21.152;34.737;10.346;1.631;3.084;10.943;1.262;17;5.757;21.635;679;111;4.915;1.497;2.558;66;229;91;156;315;3;8.198;428;6.350;1.420;511;13.735;91.757;918;17.596
;;09186 PFAFFENHOFEN A.D.ILM;13.345;12.845;211;289;1.858;87.404;26.101;44.505;13.981;2.817;4.339;15.039;1.671;26;6.758;28.459;662;47;6.057;1.613;3.408;55;258;130;169;421;3;9.705;603;7.595;1.507;528;16.337;117.086;886;19.957
;;09187 ROSENHEIM;25.011;24.201;384;426;3.509;178.010;59.925;84.417;27.815;5.853;8.814;34.502;5.239;24;18.310;63.261;667;222;13.488;4.493;7.268;100;537;223;316;550;1;16.644;1.004;13.024;2.616;1.063;31.417;234.438;878;35.892
;;09188 STARNBERG;11.177;10.917;146;114;1.531;89.870;26.242;41.675;17.914;4.039;7.776;20.532;2.418;26;12.137;31.718;648;71;5.518;1.920;3.004;42;175;44;124;207;2;3.583;148;2.679;756;531;9.703;110.750;798;13.676
;;09189 TRAUNSTEIN;16.320;15.814;166;340;2.148;121.906;40.787;59.353;17.851;3.915;5.605;22.834;3.508;48;10.287;42.005;674;189;8.684;2.817;4.390;53;342;155;252;672;3;14.603;848;11.364;2.391;1.045;24.521;162.747;900;27.094
;;09190 WEILHEIM-SCHONGAU;13.434;13.000;188;246;1.836;91.322;31.116;43.305;14.008;2.893;4.128;16.542;3.405;30;7.659;32.257;661;90;6.362;2.174;3.399;51;255;69;115;297;2;10.923;173;8.382;2.368;538;17.913;122.669;888;19.492
;RB ZUSAMMEN;;352.831;342.435;5.096;5.300;48.453;2.900.749;871.624;1.442.892;473.846;112.387;155.674;586.695;67.608;915;524.678;897.631;604;4.631;197.721;64.293;106.944;1.641;8.116;3.201;4.591;8.854;81;170.648;8.163;133.157;29.328;20.812;393.812;3.647.392;760;420.194
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;4.229;4.139;47;43;597;39.345;12.618;19.435;6.029;1.263;1.847;6.287;745;30;4.761;13.403;521;84;2.199;687;1.155;30;83;69;72;102;1;795;48;632;115;193;3.271;46.845;621;4.147
;;09262 PASSAU,STADT;3.496;3.399;62;35;483;30.264;9.756;15.242;4.271;995;1.279;5.640;496;55;5.411;9.775;561;77;2.576;712;1.291;18;105;50;62;338;-;906;140;658;108;286;3.845;37.605;698;4.842
;;09263 STRAUBING,STADT;2.535;2.422;60;53;343;28.254;9.502;13.776;4.233;743;1.250;4.445;376;16;4.186;9.165;575;52;2.233;814;1.031;22;121;61;61;123;-;715;91;556;68;478;3.478;34.267;697;3.860
;;09271 DEGGENDORF;11.176;10.559;133;484;1.610;81.987;25.907;42.378;11.376;2.326;3.175;15.376;1.102;31;8.749;27.128;671;172;6.804;2.057;3.618;31;311;113;226;443;5;10.341;352;8.409;1.580;682;17.999;111.162;910;19.872
;;09272 FREYUNG-GRAFENAU;10.091;9.403;94;594;1.241;54.766;17.889;28.573;7.074;1.230;1.731;15.902;841;66;4.545;17.500;691;146;4.020;1.303;2.077;23;164;120;128;205;-;11.529;171;9.104;2.254;450;16.145;81.002;1.022;14.295
;;09273 KELHEIM;12.047;11.495;196;356;1.641;84.222;25.967;43.227;12.673;2.355;3.761;13.603;1.266;32;6.460;26.960;670;236;5.943;1.759;3.333;36;273;91;147;300;4;10.259;433;8.302;1.524;562;17.000;113.269;901;18.868
;;09274 LANDSHUT;16.128;15.304;264;560;2.111;114.285;33.384;59.167;17.822;3.912;5.041;19.481;2.141;12;9.605;37.195;694;182;8.815;2.568;4.763;106;481;212;226;456;3;14.877;457;12.335;2.085;875;24.749;155.162;942;27.958
;;09275 PASSAU;20.791;19.767;243;781;2.604;134.174;44.248;67.529;18.408;3.989;5.089;27.198;1.968;1;10.694;45.390;681;340;9.357;3.093;4.655;65;484;185;310;562;3;20.108;811;15.514;3.783;927;30.732;185.697;943;35.530
;;09276 REGEN;7.947;7.394;82;471;951;51.663;17.018;26.780;6.682;1.183;1.570;14.715;732;17;4.493;16.822;662;90;3.859;1.255;2.108;24;142;50;80;197;3;9.911;99;8.186;1.626;413;14.273;73.883;947;13.480
;;09277 ROTTAL-INN;12.731;11.886;153;692;1.608;86.780;26.781;45.000;12.686;2.313;3.813;14.257;1.487;28;9.507;27.927;697;205;7.520;2.463;3.835;66;439;120;183;406;8;16.614;345;14.297;1.972;871;25.210;124.721;1.002;24.918
;;09278 STRAUBING-BOGEN;10.280;9.552;135;593;1.321;71.999;22.979;36.795;10.253;1.972;3.074;12.701;1.010;121;4.360;23.506;694;118;5.200;1.676;2.769;37;238;107;119;251;3;13.738;342;10.973;2.423;549;19.605;101.884;981;20.150
